ra,dec,rv,j,ej,h,eh,k,ek,dist,sn,feh
74.63528,27.047924,-17.80586,9.177,0.5956,8.085,0.2214,7.683,0.0743,4.2239355,67.6263,-0.43356768
73.747109,26.290996,54.823746,8.096,0.5051,7.014,0.1944,6.592,0.068,3.7228346,119.38925,-1.1853574
73.739313,26.427699,-25.397654,8.674,0.4829,7.592,0.1854,7.198,0.0647,4.7757114,65.580055,-0.4542967
73.319121,29.29456,26.769745,13.292,0.338,12.452,0.1238,12.176,0.0408,13.226518,5.463873,-0.3214379
72.840193,29.773546,21.4956,11.023,0.3435,10.138,0.1259,9.89,0.0416,5.0868287,30.533682,-0.29983941
73.803719,28.649498,16.98603,9.646,0.417,8.636,0.153,8.364,0.0506,4.375393,68.14314,-0.43802439
73.776022,28.934302,37.728554,10.098,0.4096,9.122,0.1496,8.811,0.0492,5.7133431,55.627987,-0.31630953
72.389088,30.382535,30.122026,9.027,0.5108,7.934,0.1867,7.565,0.0615,4.7795001,51.127045,-0.9856455
72.180455,30.325035,33.016415,9.796,0.5941,8.715,0.2184,8.352,0.0724,4.4702693,32.000027,-0.60163067
73.483694,30.279847,14.584017,9.824,0.3498,8.884,0.1251,8.57,0.0402,5.633425,32.642628,-0.21883128
73.086075,30.040353,11.5972,10.269,0.3588,9.373,0.1301,9.052,0.0424,5.5311843,24.521454,-0.089347697
75.064719,28.729571,88.672646,9.085,0.3267,8.14,0.1164,7.828,0.0372,4.4842146,64.62523,-0.26604632
74.332697,28.3576,20.352322,7.486,0.3859,6.434,0.1408,6.051,0.0462,3.2175752,16.603855,999
74.127863,29.356901,19.159607,10.418,0.3003,9.441,0.1079,9.17,0.0348,8.9172112,22.8245,-0.47092612
74.506895,29.410987,78.98719,9.287,0.3079,8.435,0.1096,8.109,0.035,3.691016,49.538223,-0.34402838
74.19429,28.817246,80.93046,10.381,0.4139,9.465,0.1501,9.165,0.0489,4.2091862,28.594833,-0.4653433
70.868378,29.202622,46.36317,9.742,0.443,8.684,0.1714,8.287,0.0603,8.3055836,70.01504,-0.6124564
70.223466,29.324097,35.88922,9.191,0.6078,8.054,0.2379,7.681,0.0849,4.4793529,76.90669,-0.52196432
71.864262,29.773675,11.055463,8.765,0.5686,7.627,0.2128,7.29,0.0721,3.6224517,108.44111,-0.53697122
71.014244,30.477688,14.40764,9.106,0.4081,8.046,0.1534,7.71,0.0522,5.704475,87.02188,-0.42737458
100.90564,29.104304,60.139145,10.899,0.0638,10.168,0.025,9.974,0.0089,7.0965411,122.65468,-0.29843478
102.7894,27.322263,390.47986,15.4,0.0496,15.153,0.0199,14.891,0.0073,0.013316016,3.848612,999
102.1764,30.923742,1.7675939,11.272,0.0786,10.53,0.0325,10.297,0.0124,10.436099,49.077484,-0.18411775
102.21334,30.451161,59.415607,11.428,0.0762,10.603,0.0314,10.406,0.0119,14.19538,49.430805,-0.42385991
100.50981,29.93664,20.409912,11.271,0.0742,10.399,0.0291,10.163,0.0104,18.269594,72.32437,-0.39890598
118.81505,26.329598,59.03879,10.741,0.0315,9.892,0.0191,9.703,0.0114,13.366888,139.64725,-0.258346
119.1515,30.355815,-8.64898,10.347,0.0359,9.47,0.0229,9.209,0.0145,14.920503,56.92339,-0.37406702
118.73844,29.744227,84.02431,11.287,0.0307,10.419,0.0193,10.2,0.012,20.218481,49.396793,-0.083745255
332.88404,25.600702,-160.82878,14.154,0.0517,13.627,0.0311,13.293,0.0185,24.016566,5.096466,999
3.916768,24.883995,81.45687,13.233,0.0248,12.608,0.0177,12.424,0.0128,12.474324,6.199803,999
4.069592,24.933605,33.712822,12.915,0.0264,12.234,0.0188,12.063,0.0136,14.907487,6.167815,999
3.402075,25.296883,51.539845,13.44,0.0323,12.77,0.0231,12.551,0.0167,23.67675,4.6363482,999
2.968702,25.338297,-144.88966,13.272,0.0348,12.58,0.0249,12.357,0.018,25.264728,2.9753935,999
2.185559,25.793694,60.40616,12.635,0.0375,12.052,0.0268,11.773,0.0194,13.470207,2.0813198,999
2.98874,25.572206,31.857077,14.063,0.0324,13.369,0.0232,13.221,0.0168,22.99706,2.620142,-0.90534007
1.953894,25.453716,60.20909,13.403,0.0295,12.85,0.0211,12.553,0.0153,18.194483,3.5655344,999
1.774376,25.751076,-33.231247,14.243,0.0242,13.563,0.0173,13.369,0.0125,32.102699,2.515074,-0.6936554
2.006724,25.500002,-13.099798,13.551,0.0307,12.831,0.0219,12.531,0.0159,46.603458,4.9346337,999
1.66934,25.743143,13.526656,13.396,0.0222,12.77,0.0158,12.537,0.0115,19.845542,5.620282,999
4.672954,28.749289,-50.03325,13.312,0.0256,12.657,0.0183,12.389,0.0133,27.635749,3.7543855,999
1.599157,26.427919,-91.89192,13.124,0.0252,12.458,0.018,12.201,0.013,25.361702,3.301032,999
60.818672,43.634962,-65.892105,10.176,0.2268,9.199,0.0767,8.86,0.023,12.490214,11.206728,-0.56772899
62.154905,47.371805,-56.82398,8.627,0.5058,7.488,0.1534,7.052,0.0405,5.3480166,11.4469,-0.37732157
63.495807,47.716152,-38.40118,8.121,0.6381,6.727,0.1882,6.063,0.0481,7.0241926,6.452056,999
64.604755,46.916846,17.634487,8.793,0.5499,7.683,0.1625,7.272,0.0416,4.2146593,17.435251,-0.15172417
65.199939,46.994406,-17.738829,10.034,0.5742,8.912,0.1678,8.549,0.0425,5.8255535,5.8102827,-0.14029093
64.798801,46.412333,-69.66781,9.833,0.4785,8.705,0.1426,8.364,0.0369,7.4003115,7.3945847,-0.57085933
